Тема,Ключ проблемы,Идентификатор проблемы,Тип задачи,Статус,Ключ проекта,Название проекта,Тип проекта,Руководитель проекта,Описание проекта,URL проекта,Приоритет,Решение,Исполнитель,Автор,Создатель,Cоздано,Обновленo,Последний просмотр,Дата решения,Срок исполнения,Голоса,Описание,Окружение,Наблюдатели,Первоначальная оценка,Оставшееся время,Затраченное время,КПД (полезная работа/затраченная работа),Суммарная первоначальная оценка,Суммарное оставшееся время,Суммарное затраченое время,Уровень безопасности,Вложение,Пользовательское поле (Epic Color),Пользовательское поле (Epic Link),Пользовательское поле (Epic Name),Пользовательское поле (Epic Status),Пользовательское поле (Original story points),Пользовательское поле (Parent Link),Пользовательское поле (Rank),Спринт,Пользовательское поле (Story Points),Пользовательское поле (Target end),Пользовательское поле (Target start),Пользовательское поле (Team)
Peresypkin the way to enter numbers from the keyboard does not work,CALC-7,10802,Ошибка,Сделать,CALC,calc,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,01/мая/21 7:33 PM,01/мая/21 7:46 PM,02/мая/21 6:40 PM,,,0,"Preconditions:
open application ""calc.jar""
the ""Num Lock"" button is active
 
1. press the button ""1"" on the PC keyboard
Expected Result:
the screen displays ""1""
Actual Result:
 the image on the screen does not change
 
 ",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i001av:",,,,,
"Peresypkin calculation error 100 percent of the number ""55""",CALC-5,10800,Ошибка,Сделать,CALC,calc,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,01/мая/21 6:48 PM,01/мая/21 7:45 PM,01/мая/21 7:47 PM,,,0,"1 enter the positive number ""55""

2 press the ""/"" button

3 enter number ""100""

4 press the ""%"" button

Expected Result: 

the number ""55"" is displayed on the screen

Actual Result:
|the number ""55.00000000000001"" is displayed on the screen|
| |",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i001af:",,,,,
Peresypkin blocking the application when trying to change the sign of the number zero,CALC-4,10719,Ошибка,Сделать,CALC,calc,software,admin,,,Highest,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,30/апр/21 12:18 PM,01/мая/21 7:45 PM,01/мая/21 7:46 PM,,,0,"1 enter an zero

2 press the ""+/-"" button

Expected Result: 

the entered number has not changed because the number zero has no sign

Actual Result:

number zero disappeared from the screen, and does not respond to pressing any buttons on keyboard of application ""calc.jar""
application restart required",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i001a7:",,,,,
"Peresypkin the button ""lg"" is absent on the keyboard of application ""calc""",CALC-3,10718,Ошибка,Сделать,CALC,calc,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,30/апр/21 11:59 AM,01/мая/21 7:45 PM,01/мая/21 7:46 PM,,,0,"1 open application ""calc"".jar

the button ""lg"" is absent on the keyboard of application ""calc""",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0019z:",,,,,
Peresypkin invalid error message style,CALC-2,10717,Ошибка,Сделать,CALC,calc,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,30/апр/21 11:46 AM,01/мая/21 7:44 PM,01/мая/21 7:46 PM,,,0,"1 enter the positive number ""100""

2 Press the ""/"" button

3 enter the ""0""

4 Press the ""="" button

Expected Resul: an error message is displayed on the screen

Actual Result : ""Джеление на нуль невозможно.""
invalid error message style",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0019r:",,,,,
Peresypkin miscalculation at  multiplication of integers,CALC-1,10716,Ошибка,Сделать,CALC,calc,software,admin,,,High,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,30/апр/21 11:26 AM,01/мая/21 7:44 PM,01/мая/21 8:07 PM,,,0,"1 enter the positive number ""100""

2 Press the ""*"" button

3 enter the positive number ""18""

4 Press the ""="" button

expected result: 
|the screen displays ""1800"" ,because 100*18=1800|
actual result:
|the screen displays ""1800"" ,because 100*18=1801|
 ",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0019j:",,,,,
"Peresypkin the button ""7"" does not work",CALC-6,10801,Ошибка,Сделать,CALC,calc,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,01/мая/21 6:56 PM,01/мая/21 7:42 PM,01/мая/21 7:47 PM,,,0,"1 push the button ""7""

Expected Result:

the screen is displayed ""7""

Actual Result :
the image on the screen does not change",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i001an:",,,,,
Возможность бесплатного получения напитка!!!,ASN-22,10312,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Highest,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,23/апр/21 3:30 PM,25/апр/21 6:29 AM,24/апр/21 4:24 AM,,,0,"1.Создать заказ: ""NUKA COLA"" 0,5л цена 50р

2.Кликнуть по кнопке ""перейти к оплате""

3. Оплатить заказ

4 . В окне отчета о покупке кликнуть по указателю ""оплата заказа""

Ожидаемый результат: в поле ""уже внесли"" значение 0 Р 

Фактический результат: в поле ""Уже внесли"" значение 100р

кнопка ""оплатить"" активна.

 ",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0004m:zzi",Автомат с напитками,,,,
Графическая ошибка при оформлении заказа,ASN-23,10313,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,23/апр/21 3:38 PM,25/апр/21 6:29 AM,24/апр/21 4:24 AM,,,0,"# Сформировать заказ: ""NUKA COLA"" 0,5л 70р
 # Кликнуть по кнопке ""перейти к оплате""
 # Кликнуть по кнопке со занчением ""100""
 # Кликнуть по кнопке ""оплатить""
 # Ожидаемый результат : графическая иконка в строке заказа соответствует купленному напитку
 # графическая иконка в строке заказа соответствует купленному напитку",,peresypkinmi@gmail.com,,,,,,,,,"23/апр/21 3:37 PM;peresypkinmi@gmail.com;ошибка.jpg;http://89.223.126.182:8080/secure/attachment/10202/%D0%BE%D1%88%D0%B8%D0%B1%D0%BA%D0%B0.jpg",,,,,,,"0|i0004m:zz",Автомат с напитками,,,,
Не сохраняются данные в полях расчета при дозаказе напитка,ASN-21,10311,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Highest,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,23/апр/21 3:21 PM,25/апр/21 6:29 AM,24/апр/21 4:24 AM,,,0,"# Сформировать заказ в первом окне, состоящий из напитка ""NUKA COLA"", объемом 1,0л и стоймостью 85р.
 # Кликнуть на кнопку :""перейти к оплате""
 # В открывшемся окне, кликнуть по кнопке: ""100"" один раз
 # Кликнуть по указателю: ""Заказ напитка""
 # В открывшемся окне, дозаказать напиток ""NUKA COLA"" емкостью 0,5л стоймостью 70р
 # Кликнуть по кнопке: ""перейти к оплате""
 # Ожидаемый результат: В поле ""уже внесли"" значение 100р
 # Фактический результат: 0 р",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0004m:zy",Автомат с напитками,,,,
